wavelength,z_bar
390,0.0184726
391,0.022211
392,0.0266982
393,0.0320694
394,0.0384783
395,0.0460978
396,0.0551195
397,0.0657526
398,0.0782211
399,0.0927601
400,0.109609
401,0.129008
402,0.151205
403,0.176444
404,0.204952
405,0.236925
406,0.272512
407,0.311782
408,0.354706
409,0.401147
410,0.450837
411,0.503416
412,0.558636
413,0.616273
414,0.676098
415,0.737882
416,0.801302
417,0.865557
418,0.929579
419,0.992129
420,1.05182
421,1.10751
422,1.15953
423,1.20887
424,1.25683
425,1.30501
426,1.35476
427,1.40559
428,1.45641
429,1.50596
430,1.55283
431,1.5959
432,1.63577
433,1.67357
434,1.7106
435,1.74828
436,1.7875
437,1.82661
438,1.86311
439,1.89433
440,1.91748
441,1.93053
442,1.93482
443,1.93265
444,1.9264
445,1.91844
446,1.91043
447,1.90122
448,1.889
449,1.872
450,1.84855
451,1.81779
452,1.78163
453,1.74251
454,1.70275
455,1.66444
456,1.62921
457,1.59736
458,1.5689
459,1.54382
460,1.52216
461,1.50361
462,1.48667
463,1.46959
464,1.45071
465,1.42844
466,1.40159
467,1.37009
468,1.33422
469,1.29428
470,1.25061
471,1.2037
472,1.15432
473,1.10328
474,1.05135
475,0.999179
476,0.947396
477,0.896622
478,0.847398
479,0.800158
480,0.755238
481,0.712788
482,0.67252
483,0.634098
484,0.597243
485,0.561731
486,0.527492
487,0.494881
488,0.464259
489,0.435884
490,0.409931
491,0.386426
492,0.365057
493,0.345481
494,0.32741
495,0.310594
496,0.29481
497,0.279819
498,0.26541
499,0.251408
500,0.237675
501,0.224121
502,0.210748
503,0.197584
504,0.184657
505,0.172002
506,0.159692
507,0.147942
508,0.136943
509,0.126828
510,0.11768
511,0.109497
512,0.102094
513,0.0952799
514,0.0889008
515,0.0828355
516,0.0770098
517,0.07144
518,0.0661544
519,0.061172
520,0.0565041
521,0.0521512
522,0.0480957
523,0.0443172
524,0.0407973
525,0.0375191
526,0.0344685
527,0.0316376
528,0.029019
529,0.0266036
530,0.0243816
531,0.022341
532,0.0204642
533,0.0187346
534,0.0171379
535,0.0156617
536,0.0142964
537,0.013037
538,0.011879
539,0.0108172
540,0.00984647
541,0.00896069
542,0.00815281
543,0.00741602
544,0.00674412
545,0.00613142
546,0.00557278
547,0.00506346
548,0.00459917
549,0.00417597
550,0.00379029
551,0.00343895
552,0.00311934
553,0.00282904
554,0.00256572
555,0.00232719
556,0.00211128
557,0.00191577
558,0.00173859
559,0.00157792
560,0.00143213
561,0.00129978
562,0.00117967
563,0.00107069
564,0.000971862
565,0.000882253
566,0.000801023
567,0.000727388
568,0.000660635
569,0.000600115
570,0.000545242
571,0.000495485
572,0.000450364
573,0.000409445
574,0.000372334
575,0.000338674
576,0.00030814
577,0.000280437
578,0.0002553
579,0.000232486
580,0.000211777
581,0.000192976
582,0.000175902
583,0.000160395
584,0.000146306
585,0.000133503
586,0.000121866
587,0.000111286
588,0.000101663
589,9.291e-05
590,8.49447e-05
591,7.76942e-05
592,7.10925e-05
593,6.50794e-05
594,5.96006e-05
595,5.46071e-05
596,5.00542e-05
597,4.59016e-05
598,4.21127e-05
599,3.86544e-05
600,3.54966e-05
601,3.26122e-05
602,2.99764e-05
603,2.75669e-05
604,2.53634e-05
605,2.33474e-05
606,2.15022e-05
607,1.98127e-05
608,1.8265e-05
609,1.68467e-05
610,1.55463e-05
611,1.43536e-05
612,1.32591e-05
613,1.22544e-05
614,1.13317e-05
615,1.04839e-05
616,-5.29396e-23
617,-4.63221e-23
618,-9.92617e-24
619,-9.92617e-24
620,-4.03251e-24
621,3.10193e-25
622,2.58494e-26
623,-3.23117e-27
624,-1.29247e-26
625,-1.21169e-27
626,-5.04871e-29
627,-1.64083e-28
628,-3.47099e-29
629,7.88861e-31
630,2.16937e-30
631,-3.45127e-31
632,-1.72563e-31
633,-5.54668e-32
634,-3.08149e-33
635,1.54074e-33
636,3.85186e-34
637,4.81482e-35
638,2.40741e-35
639,-1.80556e-35
640,-7.52316e-37
641,1.69271e-36
642,-1.88079e-37
643,-1.05794e-37
644,2.93874e-39
645,8.81621e-39
646,1.2857e-39
647,-9.18355e-41
648,0
649,5.73972e-41
650,1.65017e-41
651,4.30479e-42
652,-2.69049e-43
653,-6.72623e-44
654,7.84727e-44
655,2.66247e-44
656,-1.05097e-45
657,-7.8823e-46
658,-1.09476e-46
659,9.85288e-47
660,9.57919e-48
661,6.84228e-49
662,-1.02634e-48
663,-8.55285e-50
664,-8.55285e-50
665,1.33638e-50
666,1.20274e-50
667,-3.34096e-52
668,-2.92334e-52
669,1.67048e-52
670,-7.83037e-54
671,-9.13543e-54
672,-4.56771e-54
673,-3.26265e-55
674,4.89398e-55
675,6.11747e-56
676,-2.54895e-57
677,5.73513e-57
678,1.51344e-57
679,2.1905e-58
680,-1.99136e-59
681,-1.2446e-59
682,1.8669e-60
683,7.77877e-61
684,4.66726e-61
685,9.72346e-62
686,-4.86173e-62
687,7.2926e-63
688,1.97508e-63
689,1.0635e-63
690,1.89911e-65
691,-5.22256e-65
692,-2.1365e-65
693,-1.18695e-66
694,4.45105e-67
695,7.41841e-68
696,3.24556e-68
697,4.63651e-69
698,2.89782e-69
699,-1.08668e-69
700,9.05568e-71
701,6.33898e-71
702,-1.35835e-71
703,7.92372e-72
704,-7.07475e-73
705,-2.12242e-73
706,-4.42172e-74
707,4.86389e-74
708,2.21086e-75
709,5.52715e-76
710,-3.45447e-77
711,0
712,-4.31808e-78
713,9.71569e-78
714,-2.42892e-78
715,-1.21446e-78
716,-8.43376e-80
717,8.01207e-80
718,2.31928e-80
719,0
720,-7.24776e-82
721,6.58887e-83
722,8.23609e-83
723,2.05902e-84
724,-7.72134e-84
725,1.28689e-85
726,-6.43445e-86
727,-1.12603e-85
728,-4.42368e-86
729,-4.52422e-87
730,-1.25673e-88
731,1.06822e-87
732,9.42546e-89
733,-3.14182e-89
734,-1.27636e-89
735,9.81819e-91
736,7.97728e-91
737,1.22727e-91
738,-1.53409e-92
739,-1.05469e-92
740,-6.95135e-93
741,5.99255e-94
742,2.99627e-94
743,-7.49068e-96
744,-2.99627e-95
745,-1.02997e-95
746,0
747,5.26689e-97
748,-9.50966e-98
749,2.37741e-98
750,-5.48634e-99
751,1.82878e-99
752,-2.85747e-100
753,1.14299e-100
754,5.71494e-101
755,2.05381e-101
756,0
757,1.17201e-102
758,9.76674e-104
759,6.97624e-104
760,7.84827e-105
761,-7.84827e-105
762,-1.96207e-105
763,3.81513e-106
764,1.02191e-106
765,3.40637e-107
766,4.25796e-109
767,1.80963e-108
768,1.33061e-109
769,-6.65306e-111
770,3.1602e-110
771,-8.31633e-112
772,-2.4949e-111
773,-9.87564e-112
774,-2.59885e-113
775,3.24857e-113
776,-1.21821e-113
777,-6.09106e-115
778,-1.21821e-114
779,7.61383e-116
780,9.20004e-116
781,0
782,-3.56898e-117
783,3.96553e-118
784,-9.91384e-119
785,-6.19615e-120
786,-2.01375e-119
787,8.5197e-120
788,2.42037e-120
789,3.38852e-121
790,-6.05092e-122
791,-3.02546e-122
792,-1.51273e-123
793,1.13455e-123
794,5.20001e-124
795,1.65455e-124
796,1.77273e-125
797,1.18182e-125
798,0
799,-3.69319e-127
800,4.61649e-128
801,-5.77061e-129
802,-1.58692e-128
803,2.16398e-129
804,-6.31161e-130
805,-1.5779e-130
806,-6.76244e-131
807,-7.0442e-132
808,1.40884e-132
809,1.673e-132
810,1.54092e-133
811,5.50328e-134
812,1.10066e-134
813,1.10066e-134
814,3.43955e-136
815,-5.15933e-136
816,0
817,5.3743e-137
818,1.20922e-137
819,-8.39735e-139
820,-5.87814e-139
821,2.09934e-139
822,-5.24834e-141
823,2.49296e-140
824,-3.28021e-141
825,-1.80412e-141
826,-3.48523e-142
827,1.02507e-143
828,7.17547e-143
829,0
830,0
